Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
B1,16/09/2022,19:45,Antwerp,Seraing,,,,,,,1.33,5.25,8,1.33,5.25,9.25,1.33,5.25,8,1.34,5.48,9.11,,,,1.3,5.25,9,1.35,5.6,9.3,1.33,5.23,8.53,1.6,2.3,1.64,2.34,1.65,2.45,1.6,2.3,-1.5,1.98,1.88,2,1.89,2.01,1.95,1.95,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,17/09/2022,15:00,Mechelen,Oud-Heverlee Leuven,,,,,,,1.85,3.8,3.8,1.93,3.9,3.5,1.9,3.85,3.45,1.91,4.11,3.72,,,,1.9,3.75,3.6,2,4.2,4,1.91,3.94,3.53,1.5,2.5,1.49,2.7,1.52,2.75,1.48,2.56,-0.5,1.9,1.95,1.91,1.97,1.96,1.98,1.91,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,17/09/2022,17:15,Cercle Brugge,Oostende,,,,,,,1.8,3.5,4.5,1.75,3.8,4.5,1.75,3.7,4.1,1.82,3.94,4.28,,,,1.8,3.5,4.4,1.9,3.95,4.5,1.79,3.73,4.23,1.9,1.95,1.93,1.94,1.96,2,1.85,1.93,-0.75,2.02,1.83,2.08,1.83,2.09,1.85,2.02,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,17/09/2022,17:15,Waregem,St Truiden,,,,,,,2.87,3.25,2.45,2.75,3.4,2.45,2.75,3.3,2.4,2.89,3.51,2.49,,,,2.8,3.25,2.45,3.15,3.55,2.49,2.82,3.37,2.43,1.93,1.93,1.96,1.91,1.96,1.95,1.9,1.88,0.25,1.75,2.05,1.76,2.14,1.8,2.17,1.74,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,17/09/2022,19:45,Charleroi,Westerlo,,,,,,,2.1,3.5,3.4,2.15,3.6,3.1,2.2,3.45,3,2.2,3.71,3.24,,,,2.2,3.4,3.13,2.25,3.71,3.55,2.16,3.55,3.16,1.7,2.1,1.75,2.14,1.78,2.29,1.71,2.11,-0.25,1.88,1.98,1.91,1.98,1.92,2.02,1.87,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,18/09/2022,12:30,Genk,Gent,,,,,,,2.2,3.4,3.1,2.2,3.6,3,2.15,3.5,3,2.14,3.74,3.23,,,,2.2,3.4,3.13,2.28,3.83,3.23,2.19,3.58,3.04,1.7,2.1,1.71,2.15,1.76,2.18,1.7,2.12,-0.25,1.9,1.95,1.86,1.99,1.97,1.99,1.91,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,18/09/2022,15:00,Eupen,St. Gilloise,,,,,,,4,3.5,1.9,3.7,3.75,1.9,3.6,3.65,1.9,3.99,3.93,1.85,,,,3.9,3.6,1.87,4.35,3.98,1.92,3.8,3.73,1.87,1.72,2.07,1.76,2.08,1.78,2.23,1.71,2.1,0.5,2,1.85,2.01,1.85,2.01,1.92,1.94,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,18/09/2022,17:30,Standard,Club Brugge,,,,,,,3.8,3.6,1.9,3.6,3.9,1.9,3.55,3.65,1.95,3.78,3.72,1.95,,,,3.75,3.6,1.91,4.5,3.9,1.97,3.68,3.71,1.91,1.66,2.15,1.66,2.25,1.69,2.28,1.64,2.2,0.5,1.9,1.95,1.9,1.95,1.97,1.95,1.89,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,18/09/2022,20:00,Anderlecht,Kortrijk,,,,,,,1.33,5.5,7.5,1.36,5,8.25,1.33,5.25,8,1.34,5.34,8.72,,,,1.33,4.8,9,1.4,5.5,9,1.34,5.12,8.29,1.61,2.25,1.61,2.36,1.7,2.38,1.61,2.27,-1.5,2,1.85,2.04,1.83,2.1,1.9,2,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,16/09/2022,19:30,Mainz,Hertha,,,,,,,1.72,4,4.33,1.72,4,4.5,1.8,3.8,4.3,1.79,4,4.64,1.75,3.8,4.4,1.73,4,4.33,1.8,4.1,4.75,1.76,3.98,4.49,1.72,2.1,1.78,2.15,1.76,2.19,1.72,2.14,-0.75,1.98,1.92,2.01,1.92,1.99,1.95,1.96,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,17/09/2022,14:30,Augsburg,Bayern Munich,,,,,,,17,8,1.16,15.5,8.75,1.15,12,7.75,1.2,14.69,9,1.18,15,8,1.15,15,9,1.13,19,9.3,1.2,15.37,8.69,1.16,1.28,3.75,,,1.29,4,1.27,3.81,2.25,2.01,1.89,2.04,1.88,2.04,1.91,1.99,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,17/09/2022,14:30,Dortmund,Schalke 04,,,,,,,1.36,5,8,1.37,5.25,7.5,1.4,5.25,7,1.41,5.61,7.33,1.38,5,7.5,1.36,5.25,7.5,1.42,5.61,8,1.39,5.39,7.41,1.44,2.75,1.46,2.88,1.47,2.95,1.44,2.81,-1.5,2.03,1.87,2.07,1.86,2.07,1.92,2.01,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,17/09/2022,14:30,Leverkusen,Werder Bremen,,,,,,,1.61,4.33,5,1.63,4.33,4.6,1.7,4.2,4.4,1.67,4.6,4.83,1.65,4.33,4.5,1.6,4.5,4.75,1.7,4.75,5,1.65,4.45,4.74,1.5,2.62,1.49,2.75,1.51,2.79,1.47,2.69,-1,2.05,1.85,2.08,1.86,2.15,1.89,2.05,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,17/09/2022,14:30,Stuttgart,Ein Frankfurt,,,,,,,2.25,3.5,3.1,2.37,3.5,2.85,2.3,3.55,2.95,2.37,3.64,3.08,2.3,3.6,2.9,2.3,3.6,2.9,2.4,3.74,3.1,2.33,3.58,2.99,1.66,2.2,1.7,2.27,1.75,2.29,1.68,2.2,-0.25,2.02,1.88,2.05,1.88,2.05,1.92,2,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
