Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Sat,2022-02-26,12:30 (15:30),Los Angeles FC,2.1,3–0,0.3,Colorado Rapids,22010,Banc of California Stadium,Armando Villarreal,Match Report,
Sat,2022-02-26,13:00,Philadelphia,1.0,1–1,1.1,Minnesota Utd,17487,Subaru Park,Rubiel Vazquez,Match Report,
Sat,2022-02-26,15:00 (18:00),San Jose,0.7,1–3,2.7,NY Red Bulls,16146,Avaya Stadium,Drew Fischer,Match Report,
Sat,2022-02-26,15:30,Columbus Crew,2.7,4–0,0.3,Vancouver,18939,Lower.com Field,Nima Saghafi,Match Report,
Sat,2022-02-26,16:30 (17:30),FC Dallas,2.6,1–1,1.4,Toronto FC,12233,Toyota Stadium,Jair Marrufo,Match Report,
Sat,2022-02-26,17:00 (18:00),Austin,2.6,5–0,1.5,FC Cincinnati,20738,Q2 Stadium,Ismail Elfath,Match Report,
Sat,2022-02-26,18:00,Inter Miami,1.4,0–0,1.3,Chicago Fire,15973,Lockhart Stadium,Lukasz Szpala,Match Report,
Sat,2022-02-26,18:00,D.C. United,1.6,3–0,1.0,Charlotte,16412,Audi Field,Victor Rivas,Match Report,
Sun,2022-02-27,13:00,Orlando City,1.1,2–0,0.7,CF Montréal,21283,Exploria Stadium,Marcos de Oliveira,Match Report,
Sun,2022-02-27,14:00 (17:00),LA Galaxy,1.8,1–0,0.8,NYCFC,25174,Dignity Health Sports Park,Joe Dickerson,Match Report,
Sun,2022-02-27,15:00,Atlanta Utd,2.2,3–1,0.9,Sporting KC,67523,Mercedes-Benz Stadium,Ted Unkel,Match Report,
Sat,2022-02-26,16:30 (19:30),Portland Timbers,2.5,2–2,0.8,New England,23411,Providence Park,Chris Penso,Match Report,
Sun,2022-02-27,17:00 (20:00),Seattle,0.6,0–1,0.8,Nashville,30013,Lumen Field,Alex Chilowicz,Match Report,
Sun,2022-02-27,18:00 (19:00),Houston Dynamo,0.5,0–0,0.3,Real Salt Lake,18561,PNC Stadium,Ramy Touchan,Match Report,
Sat,2022-03-05,13:30,New England,1.7,1–0,0.8,FC Dallas,14554,Gillette Stadium,Ted Unkel,Match Report,
Sat,2022-03-05,14:00,Toronto FC,0.9,1–4,2.0,NY Red Bulls,23121,BMO Field,Rubiel Vazquez,Match Report,
Sat,2022-03-05,14:30 (17:30),San Jose,1.4,3–3,2.0,Columbus Crew,12888,Avaya Stadium,Guido Gonzalez Jr.,Match Report,
Sat,2022-03-05,14:30 (15:30),Sporting KC,1.1,1–0,0.3,Houston Dynamo,18872,Children's Mercy Park,Victor Rivas,Match Report,
